iter	RMSE
197	3.964299651
198	3.963280678
199	3.962064921
200	3.961055613
201	3.96028965
202	3.959749734
203	3.959074989
204	3.958174564
205	3.956947698
206	3.955699476
207	3.954686424
208	3.954137498
209	3.953438625
210	3.952626667
211	3.952130902
212	3.951291169
213	3.950240839
214	3.94963931
215	3.948840823
216	3.948057436
217	3.947192177
218	3.94626616
219	3.945237033
220	3.944589931
221	3.94379026
222	3.943018836
223	3.942384716
224	3.941733439
225	3.941041188
226	3.940336915
227	3.939603227
228	3.939161703
229	3.938486541
230	3.937777478
231	3.93712379
232	3.936530314
233	3.935515656
234	3.934332792
235	3.933516113
236	3.932486659
237	3.931655158
238	3.930813865
239	3.930358083
240	3.929799589
241	3.929216904
242	3.928685023
243	3.927529519
244	3.926902585
245	3.926201013
246	3.925279889
247	3.92463576
248	3.923912437
249	3.922800478
250	3.922280732
251	3.921722096
252	3.920714053
253	3.919832685
254	3.918694725
255	3.918002083
256	3.916914448
257	3.91598617
258	3.915379144
259	3.914790187
260	3.913847243
261	3.913172766
262	3.912571144
263	3.911896024
264	3.911230273
265	3.910869808
266	3.910000074
267	3.909162261
268	3.908783754
269	3.908247822
270	3.907601548
271	3.906589398
272	3.905717279
273	3.90477379
274	3.904109742
275	3.90337362
276	3.902458484
277	3.902076656
278	3.901144371
279	3.900311868
280	3.899420744
281	3.8989188
282	3.897825611
283	3.897016153
284	3.896571176
285	3.895959783
286	3.895164339
287	3.894475546
288	3.893503703
289	3.893039088
290	3.892249038
291	3.891388373
292	3.890460017
293	3.889934609
294	3.889295417
295	3.888325936
296	3.887555497
297	3.886820912
298	3.886156506
299	3.885280089
300	3.884672069
301	3.883841627
302	3.883283357
303	3.882851176
304	3.882483787
305	3.881854479
306	3.88117168
307	3.880481597
308	3.879439331
309	3.878843301
310	3.878267109
311	3.877265771
312	3.876530115
313	3.87629721
314	3.875834884
315	3.875514147
316	3.875167008
317	3.87431416
318	3.873786058
319	3.873280425
320	3.872915334
321	3.872567771
322	3.871844314
323	3.871259478
324	3.870544734
325	3.870018782
326	3.869217838
327	3.868603526
328	3.867950581
329	3.867388524
330	3.866867157
331	3.866385876
332	3.865742523
333	3.865194531
334	3.864638976
335	3.863896425
336	3.863505048
337	3.862758872
338	3.861721022
339	3.860764578
340	3.859923947
341	3.859459351
342	3.858786506
343	3.857885846
344	3.856486115
345	3.855889679
346	3.855454096
347	3.854621232
348	3.854037798
349	3.853525026
350	3.852451261
351	3.851892346
352	3.851179463
353	3.850246731
354	3.849491737
355	3.848742162
356	3.847896151
357	3.847453325
358	3.846804742
359	3.846320287
360	3.846010384
361	3.845428168
362	3.845024823
363	3.844642087
364	3.84426835
365	3.84367132
366	3.843278332
367	3.843020796
368	3.84276133
369	3.841800584
370	3.841021101
371	3.840350696
372	3.839700607
373	3.839094331
374	3.838720776
375	3.838497657
376	3.837952417
377	3.837349917
378	3.836691396
379	3.835883433
380	3.835466871
381	3.834247013
382	3.833682024
383	3.83325728
384	3.832599253
385	3.83221209
386	3.832026536
387	3.831507742
388	3.830502228
389	3.830228221
390	3.830028709
391	3.829531959
392	3.829130288
393	3.828679672
394	3.828316074
395	3.827886495
396	3.827478367
397	3.826869723
398	3.826362755
399	3.826131759
400	3.825579973
401	3.82463021
402	3.824156315
403	3.823401042
404	3.822638555
405	3.821960368
406	3.820837379
407	3.819995777
408	3.819548231
409	3.818833189
410	3.818487402
411	3.817883819
412	3.817529115
413	3.816639266
414	3.815839545
415	3.815410814
416	3.814935697
417	3.814207118
418	3.813627949
419	3.812962767
420	3.812563497
421	3.812113891
422	3.81168568
423	3.81132927
424	3.810587682
425	3.810161198
426	3.809405089
427	3.809031625
428	3.808656047
429	3.808156661
430	3.807779786
431	3.807460071
432	3.806935009
433	3.80587658
434	3.804959646
435	3.804294212
436	3.803369316
437	3.802702905
438	3.802470433
439	3.802025139
440	3.801728796
441	3.801379217
442	3.800402142
443	3.799883643
444	3.799792566
445	3.799133223
446	3.798666907
447	3.798074666
448	3.797885831
449	3.797251917
450	3.796706349
451	3.795975957
452	3.795018174
453	3.794688753
454	3.793977649
455	3.792936516
456	3.792546864
457	3.792351917
458	3.79207425
459	3.791524502
460	3.790879225
461	3.790344874
462	3.789410936
463	3.788947656
464	3.788284528
465	3.787862906
466	3.787250029
467	3.786704288
468	3.786053746
469	3.785400723
470	3.784625269
471	3.783820664
472	3.783501032
473	3.782993618
474	3.782281502
475	3.782023133
476	3.781410181
477	3.780927852
478	3.780795017
479	3.779818414
480	3.779345875
481	3.778535478
482	3.777618884
483	3.777150677
484	3.776582941
485	3.776091968
486	3.775628466
487	3.775371883
488	3.775117482
489	3.774624416
490	3.774351145
491	3.773740138
492	3.772868946
493	3.772397378
494	3.772056092
495	3.771739052
496	3.770885826
497	3.770342689
498	3.769358682
499	3.768804958
500	3.768130686
501	3.767666833
502	3.767142428
503	3.766921548
504	3.766466403
505	3.765600459
506	3.764735757
507	3.764468983
508	3.763881706
509	3.763125203
510	3.762695735
511	3.761884203
512	3.761099988
513	3.760576388
514	3.760121492
515	3.759805222
516	3.759281
517	3.758773608
518	3.75805612
519	3.75749867
520	3.756774755
521	3.756008864
522	3.755747137
523	3.755277307
524	3.754907433
525	3.754210715
526	3.753782385
527	3.753473751
528	3.752596675
529	3.752330566
530	3.751400235
531	3.750591651
532	3.750215387
533	3.749614498
534	3.748759834
535	3.748085175
536	3.747473884
537	3.747089261
538	3.746201064
539	3.745633225
540	3.745249198
541	3.744872976
542	3.744080322
543	3.743709781
544	3.742622512
545	3.74199903
546	3.741311022
547	3.741017843
548	3.740413267
549	3.739862672
550	3.73953231
551	3.73917921
552	3.738596707
553	3.737968203
554	3.73726722
555	3.736486248
556	3.735672486
557	3.735129425
558	3.734744671
559	3.734323723
560	3.733335675
561	3.732693439
562	3.732373739
563	3.731959681
564	3.731488061
565	3.731094145
566	3.730172626
567	3.729869419
568	3.729003001
569	3.728620785
570	3.727786348
571	3.726724799
572	3.725669947
573	3.725377214
574	3.72474985
575	3.724029357
576	3.723550869
577	3.723075522
578	3.722555138
579	3.722022419
580	3.721608989
581	3.72104843
582	3.720150678
583	3.719847227
584	3.719524491
585	3.719000471
586	3.718528012
587	3.718078488
588	3.717634907
589	3.717298583
590	3.716730824
591	3.716152126
592	3.715802021
593	3.715591488
594	3.714957622
595	3.714334233
596	3.71352773
597	3.713056299
598	3.71274163
599	3.712262614
600	3.711905872
601	3.71167679
602	3.711388769
603	3.710804507
604	3.710522643
605	3.709962181
606	3.709091098
607	3.708768893
608	3.708578364
609	3.708187275
610	3.70780293
611	3.707555456
612	3.706959178
613	3.706523532
614	3.70611367
615	3.705815682
616	3.705617446
617	3.705166717
618	3.70450668
619	3.704105655
620	3.703826094
621	3.702797
622	3.702069078
623	3.70183452
624	3.701021213
625	3.700359758
626	3.699991976
627	3.699182306
628	3.69840232
629	3.697701764
630	3.697354117
631	3.696928297
632	3.696432544
633	3.695485592
634	3.694999258
635	3.694562999
636	3.694045635
637	3.69341997
638	3.693162026
639	3.692682126
640	3.692244703
641	3.691574195
642	3.691217128
643	3.690706721
644	3.690439926
645	3.690017736
646	3.689704256
647	3.688909362
648	3.688082858
649	3.687567012
650	3.686921173
651	3.686073945
652	3.685568696
653	3.684929467
654	3.684111274
655	3.683789825
656	3.683298895
657	3.682924169
658	3.682407271
659	3.681807874
660	3.681661032
661	3.68125111
662	3.680659072
663	3.68043813
664	3.679642437
665	3.678947181
666	3.678513966
667	3.677886634
668	3.677396045
669	3.676827457
670	3.676140232
671	3.675350165
672	3.674889274
673	3.67416678
674	3.673651089
675	3.67320985
676	3.67289957
677	3.672478962
678	3.671623401
679	3.671028715
680	3.670615443
681	3.670094633
682	3.669826095
683	3.669351691
684	3.668745499
685	3.668362154
686	3.667996236
687	3.66777325
688	3.667081534
689	3.666357082
690	3.66582935
691	3.66543983
692	3.664941198
693	3.664668515
694	3.664002893
695	3.663580311
696	3.663242631
697	3.662928494
698	3.662567977
699	3.661841738
700	3.661415252
701	3.661106522
702	3.660582788
703	3.660121631
704	3.659807413
705	3.659407719
706	3.65822986
707	3.657896864
708	3.657013659
709	3.656717768
710	3.656393818
711	3.655768407
712	3.655340743
713	3.654945361
714	3.654162586
715	3.653899532
716	3.653304193
717	3.652617692
718	3.652240251
719	3.651647962
720	3.651408407
721	3.651013216
722	3.650791427
723	3.650513741
724	3.650057936
725	3.649601451
726	3.649102651
727	3.648579966
728	3.648237855
729	3.647647443
730	3.647537996
731	3.646873149
732	3.646170075
733	3.645476963
734	3.64526877
735	3.644656706
736	3.643825436
737	3.643550225
738	3.643233051
739	3.642482789
740	3.642051293
741	3.641714596
742	3.641382496
743	3.641184504
744	3.640729258
745	3.640193259
746	3.640027107
747	3.63976075
748	3.63938256
749	3.638740333
750	3.638406925
751	3.637548905
752	3.637138332
753	3.636384008
754	3.635828964
755	3.635337985
756	3.634801035
757	3.634347557
758	3.633216583
759	3.632855151
760	3.632166498
761	3.631857355
762	3.631309442
763	3.631041442
764	3.630607852
765	3.630085505
766	3.629497346
767	3.628759462
768	3.628059136
769	3.627702724
770	3.627298327
771	3.626817997
772	3.626327515
773	3.625953205
774	3.625382912
775	3.624739328
776	3.62430256
777	3.623730154
778	3.623423871
779	3.623161231
780	3.622774073
781	3.621906606
782	3.621340531
783	3.620980191
784	3.62049329
785	3.620161297
786	3.619797158
787	3.619407428
788	3.619026793
789	3.618868705
790	3.618508261
791	3.618231347
792	3.617838972
793	3.617242121
794	3.616651633
795	3.616346538
796	3.615992283
797	3.615482729
798	3.615027658
799	3.614543322
